Track Name;Artist;YouTube Link
Pink Venom;BLACKPINK;https://www.youtube.com/watch?v=gQlMMD8auMs
Shirt;SZA;https://www.youtube.com/watch?v=hdFDrjfW548
I Ain't Worried;OneRepublic;https://www.youtube.com/watch?v=mNEUkkoUoIA
La Bachata;Manuel Turizo;https://www.youtube.com/watch?v=TiM_TFpT_DE
PROVENZA;KAROL G;https://www.youtube.com/watch?v=ca48oMV59LU
MIDDLE OF THE NIGHT;Elley Duhé;https://www.youtube.com/watch?v=oSHzUD-uqKY
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;https://www.youtube.com/watch?v=D9G1VOjN_84
Jimmy Cooks (feat. 21 Savage);Drake;https://www.youtube.com/watch?v=V7UgPHjN9qE
I Like You (A Happier Song) (with Doja Cat);Post Malone;https://www.youtube.com/watch?v=7aekxC_monc
Oh My God;Adele;https://www.youtube.com/watch?v=om3n2ni8luE
We Don't Talk About Bruno;Carolina Gaitán - La Gaita;https://www.youtube.com/watch?v=bvWRMAU6V-c
Una Noche en Medellín;Cris Mj;https://www.youtube.com/watch?v=EaIh7tRqdqM
All For Us;Labrinth;https://www.youtube.com/watch?v=k-9DOwrLdkg
Where Are You Now;Lost Frequencies;https://www.youtube.com/watch?v=PoP2Sa7wYNQ
STAR WALKIN' (League of Legends Worlds Anthem);Lil Nas X;https://www.youtube.com/watch?v=HYsz1hP0BFo
Infinity;Jaymes Young;https://www.youtube.com/watch?v=PWqEPKduGm8
MAMIII;Becky G;https://www.youtube.com/watch?v=flL8ZMqIWGA
Sacrifice;The Weeknd;https://www.youtube.com/watch?v=NrLkTZrPZA4
Sweetest Pie;Megan Thee Stallion;https://www.youtube.com/watch?v=K7JrX7PHGBE
Ojitos Lindos;Bad Bunny;https://www.youtube.com/watch?v=wAjHQXrIj9o
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;https://www.youtube.com/watch?v=Mx_OexsUI2M
Snow On The Beach (feat. Lana Del Rey);Taylor Swift;https://www.youtube.com/watch?v=2CnUYMmEHrs
One Right Now (with The Weeknd);Post Malone;https://www.youtube.com/watch?v=Tc0tLGWIqxA
BREAK MY SOUL;Beyoncé;https://www.youtube.com/watch?v=yjki-9Pthh0
Te Felicito;Shakira;https://www.youtube.com/watch?v=4I25nV9hXGA
Shut Down;BLACKPINK;https://www.youtube.com/watch?v=POe9SOEKotk
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track;The Weeknd;https://www.youtube.com/watch?v=LIIDh-qI9oI
29;Demi Lovato;https://www.youtube.com/watch?v=nmpBEoiuUBw
When You're Gone;Shawn Mendes;https://www.youtube.com/watch?v=0G3_kG5FFfQ
The Joker And The Queen (feat. Taylor Swift);Ed Sheeran;https://www.youtube.com/watch?v=2qzcHLyv3N0
I’m Tired (with Zendaya) - Bonus Track;Labrinth;https://www.youtube.com/watch?v=ZFe55-p7XJc
Notion;The Rare Occasions;https://www.youtube.com/watch?v=uXzRDsbep_M
Light Switch;Charlie Puth;https://www.youtube.com/watch?v=WFsAon_TWPQ
Nail Tech;Jack Harlow;https://www.youtube.com/watch?v=e2AeKIzfQus
N95;Kendrick Lamar;https://www.youtube.com/watch?v=zI383uEwA6Q
WAIT FOR U (feat. Drake & Tems);Future;https://www.youtube.com/watch?v=Y2QpQP8wPG8
Honest (feat. Don Toliver);Justin Bieber;https://www.youtube.com/watch?v=n1khwOk5dN8
Fingers Crossed;Lauren Spencer Smith;https://www.youtube.com/watch?v=mzwg5Ldkt5Q
TV;Billie Eilish;https://www.youtube.com/watch?v=_JGGLJMpVks
she's all i wanna be;Tate McRae;https://www.youtube.com/watch?v=uS_y_65CcpA
Evergreen (You Didn’t Deserve Me At All);Omar Apollo;https://www.youtube.com/watch?v=ixTkLjTBQyk
Yet To Come;BTS;https://www.youtube.com/watch?v=kXpOEzNZ8hQ
Vegas (From the Original Motion Picture Soundtrack ELVIS);Doja Cat;https://www.youtube.com/watch?v=QZp2biJul1c
Desesperados;Rauw Alejandro;https://www.youtube.com/watch?v=K9mTSekTktw
The Heart Part 5;Kendrick Lamar;https://www.youtube.com/watch?v=uAPUkgeiFVY
ALIEN SUPERSTAR;Beyoncé;https://www.youtube.com/watch?v=e_aT9pAGQo8
It'll Be Okay;Shawn Mendes;https://www.youtube.com/watch?v=KrgJp7Z1Hv8
SKIN OF MY TEETH;Demi Lovato;https://www.youtube.com/watch?v=kQCKIMfG5EI
SUMMER RENAISSANCE;Beyoncé;https://www.youtube.com/watch?v=QDXcMqgO7oQ
I'm Good (Blue);David Guetta;https://www.youtube.com/watch?v=90RLzVUuXe4
